bun install v1.3.14 (0d9b296a)
< Age: 180
< Cache-Control: public, max-age=300
< ETag: "56d9ebdcee80e8a6742bfddc794ac7a6"
< Last-Modified: Thu, 28 May 2026 16:10:45 GMT
< Server: cloudflare

[PackageManager] waiting for 14 tasks
    [5.08s]
Downloaded typed-array-length versions
   - "typed-array-length": "^1.0.7" - typed-array-length@1.0.8
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:47 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=RSHVL5pLnKDsCSqlExS1npw4_GqpVmOJpmN9Ff_qw0Y-1785947207.6044917-1.0.1.1-5jqGydtq0SeMNl06Vt9RnDRymxZgjKa9T5.jODsPCv1YG9QXKRceLvlo31MoLsMeLyCZAXL33DLiEqTNAuqxcFhVNIQJl1OnyeQQKQKY5_vqBNMTM5goxPTYvDqfYVTu; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:47 GMT
< set-cookie: _cfuvid=AnqV9mvirPHdhPptyzdsKUfxI2xwiQlrxSEWJ6.qmPE-1785947207.6044917-1.0.1.1-4dVtLub3UXDYkkTIEId_lVGtSCtHggp9j3O7t.7Wae8; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a5f8bc0936c-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 42
< Cache-Control: public, max-age=300
< ETag: "d79a628d98e31979ebb8e2e6ac551a49"
< Last-Modified: Mon, 20 Jul 2026 20:18:52 GMT
< Server: cloudflare

[PackageManager] waiting for 13 tasks
    [3.61s]
Downloaded p-limit versions
   - "p-limit": "^3.0.2" - p-limit@3.1.0
Enqueue package manifest for download: yocto-queue
> HTTP/1.1 GET https://registry.npmjs.org/yocto-queue
> If-None-Match: W/"cefaa9ea34bd00f2f311635e221bd753"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:47 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=tOXtxwI9NN.orAdyW4M7B.8zdCUnk3HCJQr1aME_9Go-1785947207.598854-1.0.1.1-YseGpHRTEzaBYsl4OiPdkw8RO3odX8SGeD7obhdq9_wgk78l7dekwEu.H57nNcsVCzgbIGn004rPcJjvxgcjjU9uYH8570KYAdt4t5XfGFqkb4HCQxTtlf3ieVaCOQ1g; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:47 GMT
< set-cookie: _cfuvid=F6Hp.UW40Yclp71lzu3Tc_ZcvTYdVOWf1TnZoii5ViU-1785947207.598854-1.0.1.1-N3Httwx0YeaF.Rdrk86gfnpFpV6U5VStgkcou7TAhGI; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a5f795ead27-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 244
< Cache-Control: public, max-age=300
< ETag: "283644c330a5d4cc6eb1b4beabe802dc"
< Last-Modified: Mon, 16 Dec 2024 05:48:45 GMT
< Server: cloudflare

[PackageManager] waiting for 13 tasks
    [5.29s]
Downloaded which-boxed-primitive versions
   - "which-boxed-primitive": "^1.1.1" - which-boxed-primitive@1.1.1
Enqueue package manifest for download: is-bigint
Enqueue package manifest for download: is-boolean-object
Enqueue package manifest for download: is-number-object
> HTTP/1.1 GET https://registry.npmjs.org/is-bigint
> If-None-Match: W/"c7e8dcd8f4218514e7da507985d55b45"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-boolean-object
> If-None-Match: W/"7c280f5dcab51eb4cb21d6d6324edff6"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-number-object
> If-None-Match: W/"13d2d9babcef76993026ef3f7476d5b5"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:47 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=sWGBbJxtWevqK.lU1Q2Bv0bwiIGR72XPkLNZ6H6.Fy4-1785947207.9365618-1.0.1.1-w9Xv7DbUhGt3IQ4lEsSqdluzkkblUcc1FYT1ZHd6fNBqhGNOmj9GbYXBI3s0N7k5IoENYhmLauaLMEZcmfXiuOtZ8uAbnOYb9yGBPMKCfbcMrGepOhsTrmADLDAL4v24; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:47 GMT
< set-cookie: _cfuvid=IqLOSAk0ULrUuGFNcDMEOlkeGZnZLrG3K5PPLn8evtw-1785947207.9365618-1.0.1.1-O2ylP5A58WIJxMCbvtAwTcXwUPqKRSEpZavOthKoL34; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a619aa149be-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 47
< Cache-Control: public, max-age=300
< ETag: "cefaa9ea34bd00f2f311635e221bd753"
< Last-Modified: Tue, 11 Nov 2025 06:32:10 GMT
< Server: cloudflare

[PackageManager] waiting for 15 tasks
    [75.50ms]
Downloaded yocto-queue versions
   - "yocto-queue": "^0.1.0" - yocto-queue@0.1.0
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=a5TdPF9XEEf2jDc3wjcx2pPzE2PyXKL0YQ3S_sxaTHA-1785947208.003883-1.0.1.1-hy6.6ZhcLgXojFER7yZgQTzFXbIMKPGFxPR4QNzUTCaGXKfBQA_uYkTxnM6t_wb5hPhgzb0E3Vnmvl9HRnHIlaesHnaiOiSkyga7nvDOtRxjzjj2xa_SeZ8jDRKkw9Uk; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=ZQvP5xzx6rNYwmYgLQniYfXlljn5BsKDURHjcv6HJkE-1785947208.003883-1.0.1.1-t18k7tqTSc.BBv02kJJzRn7koqB5dwyyxwAsSeb9IlI; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a620964322e-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 166
< Cache-Control: public, max-age=300
< ETag: "7c280f5dcab51eb4cb21d6d6324edff6"
< Last-Modified: Wed, 05 Feb 2025 02:48:13 GMT
< Server: cloudflare

[PackageManager] waiting for 14 tasks
    [79.35ms]
Downloaded is-boolean-object versions
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=odgpAWkZ4MB3W96mQBsEqpcTTJZIKi30cWRzW6zacRQ-1785947208.0040874-1.0.1.1-H23BMutAGs7Z8jdOw7iIN.WxEpZ0zqzJWeSD4whvuBrIScJEpVOhtzg_bIuqlxjZdTbgesbDZAY3ygvo_gfi2kC4N0tiNLMCqJfmPlh7tNFb7y_ddx1qADwgjC8KIsIN; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=3DebKwV4Raaq4QEP3xMYKpFlFCjszYQKrCxRsImRbKg-1785947208.0040874-1.0.1.1-ZltzJt3i5IB2lZe8EL10.6QNhws65sN9IOD039oufxo; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a620c2dad27-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 168
< Cache-Control: public, max-age=300
< ETag: "c7e8dcd8f4218514e7da507985d55b45"
< Last-Modified: Mon, 02 Dec 2024 18:42:59 GMT
< Server: cloudflare

   - "is-boolean-object": "^1.2.1" - is-boolean-object@1.2.2
[PackageManager] waiting for 13 tasks
    [79.82ms]
Downloaded is-bigint versions
   - "is-bigint": "^1.1.0" - is-bigint@1.1.0
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=az21FrOfFKubjSq76tITBoZeo7aQiKEtqebao9LIedI-1785947208.0092602-1.0.1.1-HgcxVaYncoH2C9VuHLvqGDH76MKb4AppNS8DUzKxZX5HHF2lB2qoh8J2Pj.3oYgHNFB_0imfki40ze9En.AN1E9N0_qEICpVzASL3l5.s_3v9GWVwkI0P_pctlqzJp3g; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=LQocucoZcoPyYvLrf5AGBiuEOqzN1l2FEsVL02cR4FE-1785947208.0092602-1.0.1.1-wRhWxlKAINj7peauruF6WHbKDXaLgWSdwHUfFu63uLo; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a620c729215-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 23
< Cache-Control: public, max-age=300
< ETag: "13d2d9babcef76993026ef3f7476d5b5"
< Last-Modified: Mon, 16 Dec 2024 02:59:17 GMT
< Server: cloudflare

[PackageManager] waiting for 12 tasks
    [83.18ms]
Downloaded is-number-object versions
   - "is-number-object": "^1.1.1" - is-number-object@1.1.1
> HTTP/1.1 GET https://registry.npmjs.org/has-bigints
> If-None-Match: W/"8e0684b9ab43ee091a7f0b500fb31f22"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/isarray
> If-None-Match: W/"23a71ebfa667dc5ff8088f619fa1d1b0"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/reflect.getprototypeof
> If-None-Match: W/"f81807656b1c774c5b450fb50c92c586"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=K2w8UUEqyhZlGImcS5Ou2IZfmscWrtw6lHvi8nIekxY-1785947208.0922797-1.0.1.1-QJ2q.kxKBHw8Dfez0U8NFdrKdcfG9n1o9mk0gUKlfvFPEkkvuz_2GJ9LY0_7eIp0opOZ3K1CFBIqftXJLTu9TtsL9TNczV4zHLk2KDrjxO35ScGylVLOTG1wU1OxYEvb; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=BIEQ7OjdZ7X2BR7cwf5RaUBh148qr.lbdEZ4TGRrjHQ-1785947208.0922797-1.0.1.1-ZN11.nlZVWDNCToPnofqXCm1HTu6FOFJRLCQPv44LdE; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a629e997d39-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 54
< Cache-Control: public, max-age=300
< ETag: "8e0684b9ab43ee091a7f0b500fb31f22"
< Last-Modified: Wed, 18 Dec 2024 17:37:35 GMT
< Server: cloudflare

[PackageManager] waiting for 11 tasks
    [5.45s]
Downloaded has-bigints versions
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=1zr5_9zZOT4Tk0iDu_vfAXarhhNfUaZ512U9n9X5MUA-1785947208.0947044-1.0.1.1-MY1GqKNJx1yP7yfX7gQQ.g5..5FobefzMEiV__JdesTvdXeK423GnC3KRZm8G9el3kV2h937WRC3yzW0s2VHnsSXiTHxgCPxc60BrUfobcYX6C7OjpcvzxOXfoyV06HC; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=7A7YrPaDOEB8rdHXPa7kIk3t7ngRxpu1RzOEc3QZYQQ-1785947208.0947044-1.0.1.1-ACnQfwZY4FShXKyvfOq1DuQTCxTxwMI2KKJ94GWjxF8; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a629c0458b2-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 190
< Cache-Control: public, max-age=300
< ETag: "23a71ebfa667dc5ff8088f619fa1d1b0"
< Last-Modified: Wed, 12 Jul 2023 19:07:22 GMT
< Server: cloudflare

   - "has-bigints": "^1.0.2" - has-bigints@1.1.0
[PackageManager] waiting for 10 tasks
    [5.45s]
Downloaded isarray versions
   - "isarray": "^2.0.5" - isarray@2.0.5
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=aNDM9R3dnPcGeE7SxDzMH7fib0eElA.gFrx5nNluKI4-1785947208.0989914-1.0.1.1-9XnbOWzfWWdU0WxYCLP2JQ5XLsxodJ5llM8CNHM1DBr2YvZQor8n.ha8_kA64xIwhhjSXal4k.JG39rO8hAbhz2cD4Esq.494gZFjndV3yGjqqXXWLr26TNecjLa0jj2; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=PKRDWGw4W9t.xqoHdQgiC1kXKhttiQQcbcDW3nV_yuU-1785947208.0989914-1.0.1.1-x4zyq9Qsf.JOAilqqaVkTdSiWBo7.ZYjgnuP4vxk0D0; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a629ed9fbfd-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 50
< Cache-Control: public, max-age=300
< ETag: "f81807656b1c774c5b450fb50c92c586"
< Last-Modified: Thu, 02 Jan 2025 21:23:16 GMT
< Server: cloudflare

[PackageManager] waiting for 9 tasks
    [5.46s]
Downloaded reflect.getprototypeof versions
   - "reflect.getprototypeof": "^1.0.9" - reflect.getprototypeof@1.0.10
Enqueue package manifest for download: which-builtin-type
> HTTP/1.1 GET https://registry.npmjs.org/which-builtin-type
> If-None-Match: W/"8b3c1d27bf2d18d80fe05b23d868e768"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=TQw6mib3zn7pHnw5LLU9PeZREgLhGYevd0kjXikhscQ-1785947208.1715457-1.0.1.1-mtnxCFVxTikGea_mBDHKLe0vghNLBOP9cRN7odBdbywmZ2hxYxVvfMH6tjhBc6zZYdZvDNZ_3JyJHilYseALOt8Ma33oY.nYyjh1rKs8_7CSi.EEvSOTPlasWNynvOE2; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=YB55OPBMVFJ7PsiFu5HbvZwUkUN8uAJYEYjOrpS66Y0-1785947208.1715457-1.0.1.1-fmO5S5NuQYlRe9Jls9gPjlXDYc8ivB5_uuZdpVPfZBk; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a6318a849be-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 125
< Cache-Control: public, max-age=300
< ETag: "8b3c1d27bf2d18d80fe05b23d868e768"
< Last-Modified: Fri, 13 Dec 2024 07:41:13 GMT
< Server: cloudflare

[PackageManager] waiting for 9 tasks
    [65.50ms]
Downloaded which-builtin-type versions
   - "which-builtin-type": "^1.2.1" - which-builtin-type@1.2.1
Enqueue package manifest for download: is-async-function
Enqueue package manifest for download: is-finalizationregistry
Enqueue package manifest for download: is-generator-function
Enqueue package manifest for download: which-collection
> HTTP/1.1 GET https://registry.npmjs.org/is-async-function
> If-None-Match: W/"f4258a8aca5a8e3dbbecb53890d1f62e"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-finalizationregistry
> If-None-Match: W/"1e4497922fee4a1d856a0272d49b0af9"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-generator-function
> If-None-Match: W/"e9b3586eb5415132cf660a26ccdc6990"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/which-collection
> If-None-Match: W/"cc2508cab36992c6ac99a96845d19d38"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=QuPkxxTXUOFj8UJprF.fwtyoVLgeNtdFpAE7xSsh_44-1785947208.2567792-1.0.1.1-1.09r5ez837IcuQjIF.mOyf54K3Sp..7PB76oQ.hSyKdbgwSGpsCvYlnfcSN6ucFTMM_YILNG353Qx3d58yk0Qbfjw.OoGVbSGw1jmjP0RxtcEwq2F_4OYTB8.xRUFeU; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=nKTvORAr8MlTYmQjnCE76GUBVF87vNiBWkKS0VnVIgQ-1785947208.2567792-1.0.1.1-qurCL.wtNDJ1E1bto.dCqj0W6lF.WPvewhPC3x361fg; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a639b0249be-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 233
< Cache-Control: public, max-age=300
< ETag: "f4258a8aca5a8e3dbbecb53890d1f62e"
< Last-Modified: Thu, 23 Jan 2025 06:28:35 GMT
< Server: cloudflare

[PackageManager] waiting for 12 tasks
    [74.63ms]
Downloaded is-async-function versions
   - "is-async-function": "^2.0.0" - is-async-function@2.1.1
Enqueue package manifest for download: async-function
> HTTP/1.1 GET https://registry.npmjs.org/async-function
> If-None-Match: W/"c1510ae43f040300f6889cc2d415a7eb"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=gqsEyNNv.OliJVvUeLTFPWmlcgWXJMBUx27CNJ7r2Fg-1785947208.2641623-1.0.1.1-1oINiRvOAQ33XEkkyF3N6S2TPIEHQBHEKcBTUSI5hnShpWyNjNeS1oNn5oz5mwtN_GG6BvxeeTqzlzkNXgToNzlRZrGN6Cf77A7FFKfbPDhPKqjEUUWZmCD3Dpt58xgI; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=UC2TS2PvTbmSxSFHmCO4jayqyqcdJU_EroR.PnMxUls-1785947208.2641623-1.0.1.1-x6hDBgk_Jk3zonq0snVrSyy.LCkhBoFGawdrt87Gi0Q; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a63aabfad27-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 105
< Cache-Control: public, max-age=300
< ETag: "e9b3586eb5415132cf660a26ccdc6990"
< Last-Modified: Tue, 30 Sep 2025 18:41:16 GMT
< Server: cloudflare

< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=eEUsq.wZOIe2BAbG7NXUwsJKnvHPYwc0GOJwWEgYcpE-1785947208.2638607-1.0.1.1-Y32BQpTzrOIWZgvXu3YcLS.4DxvQadE8mC.ovQa9l6qrUY4ClN5_5aQOR1DXFyNfhJTxstFVL7I75sriWQnaYjYW2nOA7ig0s7CJMHWmZNJCj5Y1SqHdSCtDOjJBva26; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=EFwPDWmnc_EQM9Fd77ckaAGRa9J5ZMCImyLn7CFD5TU-1785947208.2638607-1.0.1.1-jmWKgNhyHS7Hp8v0gCcZ5pLmEW0ariOVgfIycna5Sso; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a63aef3322e-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 299
< Cache-Control: public, max-age=300
< ETag: "1e4497922fee4a1d856a0272d49b0af9"
< Last-Modified: Tue, 17 Dec 2024 05:37:20 GMT
< Server: cloudflare

[PackageManager] waiting for 12 tasks
    [84.90ms]
Downloaded is-generator-function versions
   - "is-generator-function": "^1.0.10" - is-generator-function@1.1.2
    [85.21ms]
Downloaded is-finalizationregistry versions
   - "is-finalizationregistry": "^1.1.0" - is-finalizationregistry@1.1.1
Enqueue package manifest for download: generator-function
> HTTP/1.1 GET https://registry.npmjs.org/generator-function
> If-None-Match: W/"f5d2d02070e2a4ba21597cc603dffade"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=ZXQLRD0k1WwibL2L_M.DK.lLhCb8Zl4_FWy5ugzdLS8-1785947208.2692251-1.0.1.1-HVrYI7SBMUF9tHHrov_D8MUc4rKwRIUKxFeUMoeXFkA9spLJ7adCsq3.h3fDsLZwDXqB4K6KZ521uCjlDMdZS0dVrL26V6ctXL0Aq30gNcj_9UKCjsbr5qm9EOmsXi7K; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=Nf_0Y5wYcFyW9dzeaSqB8Ho3pkWXgRQ.rN5CFZXerSk-1785947208.2692251-1.0.1.1-svWUp6HiMScPP2zMUbeQdZ5PLlrrPg_Ps4lcZnWtBIM; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a63ac77936c-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 25
< Cache-Control: public, max-age=300
< ETag: "cc2508cab36992c6ac99a96845d19d38"
< Last-Modified: Fri, 08 Mar 2024 22:53:06 GMT
< Server: cloudflare

[PackageManager] waiting for 11 tasks
    [89.77ms]
Downloaded which-collection versions
   - "which-collection": "^1.0.2" - which-collection@1.0.2
Enqueue package manifest for download: is-map
Enqueue package manifest for download: is-weakmap
Enqueue package manifest for download: is-weakset
> HTTP/1.1 GET https://registry.npmjs.org/is-map
> If-None-Match: W/"6c07829b76eda8244ed92ed79c23808a"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-weakmap
> If-None-Match: W/"42b198bd222197966e0e61a162f4bce9"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-weakset
> If-None-Match: W/"18554e05ceedfcebcf84e1f1a1808ddf"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=P2ZeOLcz.TI10ki97Af_eg2jqo_JVJ90d3ERH5Ox7pw-1785947208.351888-1.0.1.1-IA0JY5rKYqFRQQ500dESNht7bqJuHzBD21kuXYOCjPKj8uEA1SfQXIIXcr.ft1usb2PVTLHMpfpG_QPw.1fAjYgWNr4d4HKot2VEHmw3VthJS4mtuZ1gXJqlU947mtZU; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
< set-cookie: _cfuvid=3iKN3weTroCgVIhUYAlkUI7qhqm_eva2.qp2pqaEHts-1785947208.351888-1.0.1.1-q_kplRdaKBR4Hnm3b8eR52bhOOSVoOSzBE5pXIIG.Nk; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a643ef28c9a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 36
< Cache-Control: public, max-age=300
< ETag: "18554e05ceedfcebcf84e1f1a1808ddf"
< Last-Modified: Tue, 17 Dec 2024 05:37:45 GMT
< Server: cloudflare

[PackageManager] waiting for 13 tasks
    [84.37ms]
Downloaded is-weakset versions
   - "is-weakset": "^2.0.3" - is-weakset@2.0.4
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:48 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=gj5Zc_Upa4Wp7X3gbszO6X9Qd9qF4gqByHsxIqxQGZI-1785947208.353542-1.0.1.1-4MuUBhrt5gbcd8cjSE5a4R_LbpiAfTjCpIk0b66.L7yWJHSFhidmaXFDzVpwa0WsTL.gv5rh0eGaJGlBkHfyGfG9Jv.OE8meyxtVXEXFNgWtYGBToOUGvbIQRdA9iSbh; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:48 GMT
